Item,Support,Count
PROD000337,0.013033051819414034,125
PROD000219,0.012511729746637473,120
PROD000487,0.01240746533208216,119
PROD000428,0.012303200917526848,118
PROD000323,0.012303200917526848,118
PROD000456,0.012198936502971536,117
PROD000341,0.012094672088416223,116
PROD000492,0.012094672088416223,116
PROD000375,0.012094672088416223,116
PROD000075,0.011990407673860911,115
PROD000303,0.011990407673860911,115
PROD000147,0.011990407673860911,115
PROD000496,0.011990407673860911,115
PROD000158,0.011990407673860911,115
PROD000312,0.0118861432593056,114
PROD000406,0.0118861432593056,114
PROD000205,0.0118861432593056,114
PROD000316,0.0118861432593056,114
PROD000069,0.0118861432593056,114
PROD000258,0.011781878844750286,113
PROD000339,0.011781878844750286,113
PROD000068,0.011677614430194974,112
PROD000497,0.011677614430194974,112
PROD000453,0.011677614430194974,112
PROD000480,0.011677614430194974,112
PROD000273,0.011677614430194974,112
PROD000489,0.011677614430194974,112
PROD000284,0.011573350015639663,111
PROD000262,0.011573350015639663,111
PROD000478,0.011573350015639663,111
PROD000051,0.011573350015639663,111
PROD000335,0.011573350015639663,111
PROD000298,0.011573350015639663,111
PROD000325,0.01146908560108435,110
PROD000500,0.01146908560108435,110
PROD000336,0.01146908560108435,110
PROD000277,0.01146908560108435,110
PROD000078,0.01146908560108435,110
PROD000153,0.01146908560108435,110
PROD000133,0.01146908560108435,110
PROD000224,0.011364821186529038,109
PROD000004,0.011364821186529038,109
PROD000455,0.011364821186529038,109
PROD000030,0.011364821186529038,109
PROD000029,0.011364821186529038,109
PROD000450,0.011364821186529038,109
PROD000424,0.011364821186529038,109
PROD000140,0.011260556771973726,108
PROD000116,0.011260556771973726,108
PROD000300,0.011260556771973726,108
PROD000249,0.011260556771973726,108
PROD000321,0.011260556771973726,108
PROD000382,0.011260556771973726,108
PROD000055,0.011156292357418413,107
PROD000175,0.011156292357418413,107
PROD000451,0.011156292357418413,107
PROD000359,0.011156292357418413,107
PROD000169,0.011156292357418413,107
PROD000498,0.011156292357418413,107
PROD000100,0.011156292357418413,107
PROD000083,0.011156292357418413,107
PROD000174,0.011156292357418413,107
PROD000080,0.0110520279428631,106
PROD000276,0.0110520279428631,106
PROD000499,0.0110520279428631,106
PROD000035,0.0110520279428631,106
PROD000367,0.010947763528307789,105
PROD000358,0.010947763528307789,105
PROD000139,0.010947763528307789,105
PROD000118,0.010947763528307789,105
PROD000223,0.010947763528307789,105
PROD000309,0.010947763528307789,105
PROD000234,0.010947763528307789,105
PROD000332,0.010947763528307789,105
PROD000059,0.010947763528307789,105
PROD000031,0.010947763528307789,105
PROD000299,0.010843499113752476,104
PROD000483,0.010843499113752476,104
PROD000474,0.010843499113752476,104
PROD000280,0.010843499113752476,104
PROD000161,0.010843499113752476,104
PROD000212,0.010843499113752476,104
PROD000036,0.010739234699197164,103
PROD000060,0.010739234699197164,103
PROD000052,0.010739234699197164,103
PROD000479,0.010739234699197164,103
PROD000172,0.010739234699197164,103
PROD000054,0.010739234699197164,103
PROD000329,0.010739234699197164,103
PROD000366,0.010739234699197164,103
PROD000211,0.010739234699197164,103
PROD000129,0.010739234699197164,103
PROD000206,0.010739234699197164,103
PROD000318,0.010739234699197164,103
PROD000085,0.010739234699197164,103
PROD000244,0.010739234699197164,103
PROD000370,0.010634970284641852,102
PROD000357,0.010634970284641852,102
PROD000454,0.010634970284641852,102
PROD000481,0.010634970284641852,102
PROD000459,0.010634970284641852,102
PROD000457,0.010634970284641852,102
PROD000461,0.010634970284641852,102
PROD000376,0.010634970284641852,102
PROD000438,0.010634970284641852,102
PROD000447,0.010634970284641852,102
PROD000071,0.010634970284641852,102
PROD000349,0.010634970284641852,102
PROD000393,0.010634970284641852,102
PROD000114,0.010634970284641852,102
PROD000311,0.010634970284641852,102
PROD000315,0.010634970284641852,102
PROD000322,0.010634970284641852,102
PROD000089,0.010634970284641852,102
PROD000320,0.010634970284641852,102
PROD000255,0.010634970284641852,102
PROD000281,0.010634970284641852,102
PROD000268,0.010634970284641852,102
PROD000148,0.010634970284641852,102
PROD000494,0.010634970284641852,102
PROD000484,0.010634970284641852,102
PROD000006,0.010634970284641852,102
PROD000001,0.010530705870086539,101
PROD000476,0.010530705870086539,101
PROD000466,0.010530705870086539,101
PROD000143,0.010530705870086539,101
PROD000026,0.010530705870086539,101
PROD000301,0.010530705870086539,101
PROD000282,0.010530705870086539,101
PROD000354,0.010530705870086539,101
PROD000436,0.010530705870086539,101
PROD000444,0.010530705870086539,101
PROD000138,0.010530705870086539,101
PROD000257,0.010530705870086539,101
PROD000246,0.010530705870086539,101
PROD000471,0.010530705870086539,101
PROD000270,0.010530705870086539,101
PROD000302,0.010530705870086539,101
PROD000310,0.010530705870086539,101
PROD000215,0.010530705870086539,101
PROD000149,0.010426441455531227,100
PROD000239,0.010426441455531227,100
PROD000295,0.010426441455531227,100
PROD000263,0.010426441455531227,100
PROD000144,0.010426441455531227,100
PROD000465,0.010426441455531227,100
PROD000449,0.010426441455531227,100
PROD000044,0.010426441455531227,100
PROD000435,0.010426441455531227,100
PROD000306,0.010426441455531227,100
PROD000168,0.010426441455531227,100
PROD000072,0.010426441455531227,100
PROD000283,0.010426441455531227,100
PROD000109,0.010426441455531227,100
PROD000229,0.010426441455531227,100
PROD000398,0.010426441455531227,100
